iata,icao,airport
GYD,UBBB,Heydar Aliyev International Airport
GBB,UBBQ,Qabala International Airport
ZXT,UBTT,Zabrat Airport
ZTU,UBBY,Zaqatala International Airport
KVD,UBBG,Ganja International Airport
NAJ,UBBN,Nakhchivan International Airport
YLV,UBEE,Yevlakh Airport
BNX,LQBK,Banja Luka International Airport
OMO,LQMO,Mostar Airport
SJJ,LQSA,Sarajevo International Airport
TZL,LQTZ,Tuzla International Airport
BGI,TBPB,Grantley Adams International Airport
ZYL,VGSY,Osmani International Airport
JSR,VGJR,Jessore Airport
CGP,VGEG,Shah Amanat International Airport
TKR,VGSG,Thakurgaon Airport
BZL,VGBR,Barisal Airport
RJH,VGRJ,Shah Makhdum Airport
ZHM,VGSH,Shamshernagar Airport
DAC,VGHS,Shahjalal International Airport
CLA,VGCM,Comilla Airport
SPD,VGSD,Saidpur Airport
CXB,VGCB,Cox's Bazar Airport
IRD,VGIS,Ishwardi Airport
KJK,EBKT,Kortrijk-Wevelgem International Airport
LGG,EBLG,Liege Airport
ANR,EBAW,Antwerp International Airport
OST,EBOS,Ostend-Bruges International Airport
BRU,EBBR,Brussels Airport (Zaventem Airport)
