iata,icao,airport
PUF,LFBP,Pau Pyrenees Airport
MXN,LFRU,Morlaix - Ploujean A
VNE,LFRV,Meucon Airport
TNF,LFPN,Toussus-le-Noble Airport
OMB,FOOH,Omboue Hospital Airport
AKE,FOGA,Akieni Airport
FOU,FOGF,Fougamou Airport
AWE,FOGW,Alowe Airport
BGB,FOGB,Booue Airport
BMM,FOOB,Bitam Airport
MYB,FOOY,Mayumba Airport
KOU,FOGK,Koulamoutou Airport
MVX,FOGV,Minvoul Airport
MZC,FOOM,Mitzic Airport
LBV,FOOL,Libreville International Airport
OKN,FOGQ,Okondja Airport
MKU,FOOK,Makokou Airport
MFF,FOOD,Moanda Airport
LBQ,FOGR,Lambarene Airport
POG,FOOG,Port-Gentil International Airport
IGE,FOOI,Tchongorove Airport
MKB,FOOE,Mekambo Airport
MVB,FOON,M'Vengue El Hadj Omar Bongo Ondimba International Airport
TCH,FOOT,Tchibanga Airport
LTL,FOOR,Lastourville Airport
KDN,FOGE,Ndende Airport
MBC,FOGG,Mbigou Airport
KDJ,FOGJ,Ndjole Ville Airport
MJL,FOGM,Mouila Airport
OYE,FOGO,Oyem Airport
MGX,FOGI,Moabi Airport
MME,EGNV,Durham Tees Valley Airport
FSS,EGQK,RAF Kinloss
OBN,EGEO,Oban Airport (North Connel Airport)
BHD,EGAC,George Best Belfast City Airport
TRE,EGPU,Tiree Airport
NWI,EGSH,Norwich International Airport
RCS,EGTO,Rochester Airport
HUY,EGNJ,Humberside Airport
FFD,EGVA,RAF Fairford
BFS,EGAA,Belfast International Airport
ABZ,EGPD,Aberdeen Airport
LBA,EGNM,Leeds Bradford Airport
NRL,EGEN,North Ronaldsay Airport
LSI,EGPB,Sumburgh Airport
NQY,EGDG,Cornwall Airport Newquay
SKL,EGEI,Broadford Airfield
NQT,EGBN,Nottingham Airport
BEX,EGUB,RAF Benson
LCY,EGLC,London City Airport
LDY,EGAE,City of Derry Airport
ADX,EGQL,RAF Leuchars
BEQ,EGXH,RAF Honington
DSA,EGCN,Robin Hood Airport Doncaster Sheffield
LTN,EGGW,Luton Airport
WRY,EGEW,Westray Airport
LEQ,EGHC,Land's End Airport
HRT,EGXU,RAF Linton-on-Ouse
STN,EGSS,London Stansted Airport
BOL,EGQB,Ballykelly Airfield (RAF Ballykelly)
BBP,EGHJ,Bembridge Airport
BQH,EGKB,London Biggin Hill Airport
BBS,EGLK,Blackbushe Airport
BEB,EGPL,Benbecula Airport
LGW,EGKK,Gatwick Airport
EXT,EGTE,Exeter International Airport
LHB,EG74,Bruntingthorpe Aerodrome (Leicester Harboro'/Harbour Airport)
LHR,EGLL,Heathrow Airport
NHT,EGWU,RAF Northolt
SEN,EGMC,London Southend Airport
FAB,EGLF,Farnborough Airport
UPV,EGDJ,RAF Upavon
NDY,EGES,Sanday Airport
OXF,EGTK,Oxford Airport (London Oxford Airport)
DND,EGPN,Dundee Airport
LWK,EGET,Tingwall Airport (Lerwick/Tingwall Airport)
LKZ,EGUL,RAF Lakenheath
NCL,EGNT,Newcastle Airport
LMO,EGQS,RAF Lossiemouth
GLO,EGBJ,Gloucestershire Airport
WTN,EGXW,RAF Waddington
LPL,EGGP,Liverpool John Lennon Airport
LYE,EGDL,RAF Lyneham
ENK,EGAB,Enniskillen/St Angelo Airport
SQZ,EGXP,RAF Scampton
PSL,EGPT,Perth Airport (Scone Airport)
LYX,EGMD,Lydd Airport (London Ashford Airport)
BRR,EGPR,Barra Airport
BOH,EGHH,Bournemouth Airport
CEG,EGNR,Hawarden Airport (Chester Airport)
BLK,EGNH,Blackpool Airport
PPW,EGEP,Papa Westray Airport
MAN,EGCC,Manchester Airport
VLY,EGOV,Anglesey Airport / RAF Valley
QCY,EGXC,RAF Coningsby
SWS,EGFH,Swansea Airport
CBG,EGSC,Cambridge Airport
QUG,EGHR,Chichester/Goodwood Airport
QUY,EGUY,RAF Wyton
ISC,EGHE,St Mary's Airport
KNF,EGYM,RAF Marham
GBA,EGBP,Cotswold Airport
CAX,EGNC,Carlisle Lake District Airport
GLA,EGPF,Glasgow Airport
CAL,EGEC,Campbeltown Airport / RAF Machrihanish
EMA,EGNX,East Midlands Airport
SYY,EGPO,Stornoway Airport
BRS,EGGD,Bristol Airport
SOY,EGER,Stronsay Airport
SOU,EGHI,Southampton Airport
BZZ,EGVN,RAF Brize Norton
EOI,EGED,Eday Airport
CWL,EGFF,Cardiff Airport
HAW,EGFE,Haverfordwest Aerodrome
ILY,EGPI,Islay Airport (Glenegedale Airport)
YEO,EGDY,Royal Naval Air Station Yeovilton
BWF,EGNL,Barrow/Walney Island Airport
INV,EGPE,Inverness Airport
WHS,EGEH,Whalsay Airstrip
PIK,EGPK,Glasgow Prestwick Airport
WIC,EGPC,Wick Airport
CVT,EGBE,Coventry Airport
MHZ,EGUN,RAF Mildenhall
KOI,EGPA,Kirkwall Airport
ORM,EGBK,Sywell Aerodrome
EDI,EGPH,Edinburgh Airport
SCS,EGPM,Scatsta Airport
FIE,EGEF,Fair Isle Airport
BHX,EGBB,Birmingham Airport
ODH,EGVO,RAF Odiham
GND,TGPY,Maurice Bishop International Airport
KUT,UGKO,David the Builder Kutaisi International Airport
SUI,UGSS,Sukhumi Babushara Airport (Dranda Airport)
BUS,UGSB,Batumi International Airport (Alexander Kartveli Batumi Int'l Airport)
TBS,UGTB,Tbilisi International Airport
CAY,SOCA,Cayenne - Felix Eboue Airport
OYP,SOOG,Saint-Georges-de-l'Oyapock Airport
XAU,SOOS,Saul Airport
REI,SOOR,Regina Airport
LDX,SOOM,Saint-Laurent-du-Maroni Airport
GSI,SOGS,Grand-Santi Airport
MPY,SOOA,Maripasoula Airport
TML,DGLE,Tamale Airport
NYI,DGSN,Sunyani Airport
TKD,DGTK,Takoradi Airport
ACC,DGAA,Kotoka International Airport
KMS,DGSI,Kumasi Airport
GIB,LXGB,Gibraltar International Airport (North Front Airport)
GOH,BGGH,Nuuk Airport
JUV,BGUK,Upernavik Airport
CNP,BGCO,Nerlerit Inaat Airport (Constable Pynt Airport)
UAK,BGBW,Narsarsuaq Airport
JQA,BGUQ,Qaarsut Airport (Uummannaq/Qaarsut Airport)
JCH,BGCH,Qasigiannguit Heliport
KUS,BGKK,Kulusuk Airport
JHS,BGSS,Sisimiut Airport
JEG,BGAA,Aasiaat Airport
NAQ,BGQQ,Qaanaaq Airport
THU,BGTL,Thule Air Base
SFJ,BGSF,Kangerlussuaq Airport
JFR,BGPT,Paamiut Airport
JSU,BGMQ,Maniitsoq Airport
JAV,BGJN,Ilulissat Airport
BJL,GBYD,Banjul International Airport
CKY,GUCY,Conakry International Airport (Gbessia Int'l Airport)
FIG,GUFA,Fria Airport
KNN,GUXN,Kankan Airport (Diankana Airport)
BKJ,GUOK,Boke Baralande Airport
MCA,GUMA,Macenta Airport
SBI,GUSB,Sambailo Airport
NZE,GUNZ,Nzerekore Airport
LEK,GULB,Tata Airport
KSI,GUKU,Kissidougou Airport
GII,GUSI,Siguiri Airport
FAA,GUFH,Faranah Airport
PTP,TFFR,Pointe-a-Pitre International Airport (Le Raizet Airport)
LSS,TFFS,Les Saintes Airport
BBR,TFFB,Baillif Airport
DSD,TFFA,La Desirade Airport (Grande-Anse Airport)
SFC,TFFC,Saint-Francois Airport
GBJ,TFFM,Marie-Galante Airport (Les Bases)
BSG,FGBT,Bata Airport
SSG,FGSL,Malabo International Airport (Saint Isabel Airport)
NBN,FGAB,Annobon Air
GEM,FGMY,President Obiang Nguema International Airport
LRA,LGLR,Larissa National Airport
KZS,LGKJ,Kastellorizo Island Public Airport
JSI,LGSK,Skiathos Island National Airport
ATH,LGAV,Athens International Airport (Eleftherios Venizelos Airport)
KVA,LGKV,Kavala International Airport (Alexander the Great Airport)
KZI,LGKZ,Kozani National Airport (Filippos Airport)
JSH,LGST,Sitia Public Airport
LRS,LGLE,Leros Municipal Airport
JTY,LGPL,Astypalaia Island National Airport
JKH,LGHI,Chios Island National Airport
JKL,LGKY,Kalymnos Island National Airport
KIT,LGKC,Kithira Island National Airport
JTR,LGSR,Santorini (Thira) National Airport
VOL,LGBL,Nea Anchialos National Airport
RHO,LGRP,Rhodes International Airport
PVK,LGPZ,Aktion National Airport
JMK,LGMK,Mykonos Island National Airport
SPJ,LGSP,Sparti Airport
SMI,LGSM,Samos International Airport
PYR,LGAD,Andravida Air Base
AGQ,LGAG,Agrinion Airport
HER,LGIR,Heraklion International Airport (Nikos Kazantzakis Airport)
JNX,LGNX,Naxos Island National Airport
EFL,LGKF,Cephalonia International Airport
SKU,LGSY,Skyros Island National Airport
SKG,LGTS,Thessaloniki Airport
KLX,LGKL,Kalamata International Airport
AXD,LGAL,Alexandroupoli Airport (Dimokritos Airport)
JSY,LGSO,Syros Island National Airport
KSO,LGKA,Kastoria National Airport (Aristotelis Airport)
ZTH,LGZA,Zakynthos International Airport (Dionysios SolomosAirport)
CHQ,LGSA,Chania International Airport
LXS,LGLM,Lemnos International Airport
KSJ,LGKS,Kasos Island Public Airport
CFU,LGKR,Corfu International Airport (Ioannis Kapodistrias Int'l Airport)
JIK,LGIK,Ikaria Island National Airport
AOK,LGKP,Karpathos Island National Airport
PAS,LGPA,Paros National Airport
MLO,LGML,Milos Island National Airport
IOA,LGIO,Ioannina National Airport
MJT,LGMT,Mytilene International Airport
KGS,LGKO,Kos Island International Airport
GPA,LGRX,Araxos Airport
AAZ,MGQZ,Quetzaltenango Airport
CBV,MGCB,Coban Airport
PON,MGPP,Poptun Airport
FRS,MGTK,Mundo Maya International Airport
CMM,MGCR,Carmelita Airport
CTF,MGCT,Coatepeque Airport
HUG,MGHT,Huehuetenango Airport
AQB,MGQC,Quiche Airport
RUV,MGRB,Rubelsanto Airport
PBR,MGPB,Puerto Barrios Airport
RER,MGRT,Retalhuleu Airport
LCF,MGRD,Rio Dulce Airport (Las Vegas Airport)
GSJ,MGSJ,San Jose Airport
GUA,MGGT,La Aurora International Airport
PKJ,MGPG,Playa Grande Airport
GUM,PGUM,Antonio B. Won Pat International Airport (Guam Int'l)
UAM,PGUA,Andersen Air Force Base
BQE,GGBU,Bubaque Airport
OXB,GGOV,Osvaldo Vieira International Airport
SDC,SYSC,Sand Creek Airport
OGL,SYGO,Ogle Airport
MWJ,SYMR,Matthews Ridge Airport
VEG,SYMK,Maikwak Airport
KTO,SYKT,Kato Airport
ORJ,SYDR,Orinduik Airport
LTM,SYLT,Lethem Airport
KKG,SYKZ,Konawaruk Airport
NAI,SYAN,Annai Airport
LUB,SYLP,Lumid Pau Airport
GEO,SYCJ,Cheddi Jagan International Airport
MHA,SYMD,Mahdia Airport
AHL,SYAH,Aishalton Airport
KRM,SYKR,Karanambo Airport
GFO,SYBT,Bartica Airport
BMJ,SYBR,Baramita Airport
MYM,SYMM,Monkey Mountain Airport
KRG,SYKS,Karasabai Airport
KAR,SYKM,Kamarang Airport
KAI,SYKA,Kaieteur International Airport
IMB,SYIB,Imbaimadai Airport
USI,SYMB,Mabaruma Airport
PRR,SYPR,Paruima Airport
MFM,VMMC,Macau International Airport
HKG,VHHH,Hong Kong International Airport (Chek Lap Kok Airport)
XPL,MHSC,Soto Cano Air Base
SCD,MHUL,Sulaco Airport
SAP,MHLM,Ramon Villeda Morales International Airport
OAN,MHEA,El Arrayan Airport
TJI,MHTJ,Trujillo Airport (Capiro Airport)
AHS,MHAH,Ahuas Airport
GJA,MHNJ,Guanaja Airport
CYL,MHCS,Coyoles Airport
CAA,MHCA,Catacamas Airport
MRJ,MHMA,Marcala Airport
IRN,MHIR,Iriona Airport
ORO,MHYR,Yoro Airport
UII,MHUT,Utila Airport
TEA,MHTE,Tela Airport
TGU,MHTG,Toncontin International Airport
LCE,MHLC,Goloson International Airport
PEU,MHPL,Puerto Lempira Airport
JUT,MHJU,Juticalpa Airport
RUY,MHRU,Copan Ruinas Airport
SDH,MHSR,Santa Rosa de Copan Airport
GAC,MHGS,Gracias Airport
RTB,MHRO,Juan Manuel Galvez International Airport
PCH,MHPC,Palacios Airport
LEZ,MHLE,La Esperanza Airport
LSZ,LDLO,Losinj Airport
ZAG,LDZA,Franjo Tudman Airport
ZAD,LDZD,Zadar Airport
SPU,LDSP,Split Airport
RJK,LDRI,Rijeka Airport
BWK,LDSB,Bol Airport (Brac Airport)
OSI,LDOS,Osijek Airport
PUY,LDPL,Pula Airport
DBV,LDDU,Dubrovnik Airport
PAX,MTPX,Port-de-Paix Airport
JAK,MTJA,Jacmel Airport
CAP,MTCH,Hugo Chavez International Airport
PAP,MTPP,Toussaint L'Ouverture International Airport
JEE,MTJE,Jeremie Airport
CYA,MTCA,Antoine-Simon Airport
PEV,LHPP,Pecs-Pogany International Airport
MCQ,LHMC,Miskolc Airport
DEB,LHDC,Debrecen International Airport
BUD,LHBP,Budapest Ferenc Liszt International Airport
SOB,LHSM,Heviz-Balaton Airport
WSR,WASW,Wasior Airport
AHI,WAPA,Amahai Airport
YIA,WAHI,Yogyakarta International Airport
BTH,WIDD,Hang Nadim Airport
ZEG,WAKQ,Senggo Airport
AKQ,WIAG,Gunung Batin Airport
KNO,WIMM,Kualanamu International Airport
MPC,WIPU,Muko-Muko Airport
MOF,WATC,Frans Seda Airport (Wai Oti Airport)
PDO,WIPQ,Pendopo Airport
AMQ,WAPP,Pattimura Airport
SEH,WAJS,Senggeh Airport
MNA,WAMN,Melangguane Airport
KNG,WASK,Kaimana Airport
SQR,WAWS,Soroako Airport
OTI,WAMR,Pitu Airport
MLG,WARA,Abdul Rachman Saleh Airport
MKW,WASR,Rendani Airport
MWK,WIOM,Matak Airport (Tarempa Airport)
MKQ,WAKK,Mopah Airport
SQN,WAPN,Sanana Airport
MDC,WAMM,Sam Ratulangi International Airport
RSK,WASC,Abresso Airport
MJU,WAAJ,Tampa Padang Airport
RTG,WATG,Frans Sales Lega Airport
MEQ,WITC,Cut Nyak Dhien Airport
MES,WIMK,Soewondo Air Force Base
PPR,WIDE,Tuanku Tambusai Airport
MDP,WAKD,Mindiptana Airport
RUF,WAJE,Yuruf Airport
MAL,WAPE,Mangole Airport
SEQ,WIBS,Sei Pakning Airport
LYK,WADU,Lunyuk Airport
LWE,WATW,Wonopito Airport
NPO,WIOG,Nanga Pinoh Airport
LUW,WAMW,Syukuran Aminuddin Amir Airport
NTI,WASB,Stenkol Airport
LSX,WITL,Lhok Sukon Airport
PWL,WAHP,Wirasaba Airport
LSW,WITM,Malikus Saleh Airport
SGQ,WALA,Sangkimah Airport
OBD,WABR,Obano Airport
LKA,WATL,Gewayantana Airport
RAQ,WAWR,Sugimanuru Airport
LII,WAJM,Mulia Airport
LHI,WAJL,Lereh Airport
OKL,WAJO,Gunung Bintang Airport
SBG,WITN,Maimun Saleh Airport
KRC,WIPH,Depati Parbo Airport
OKQ,WAKO,Okaba Airport
KOX,WABN,Kokonao Airport
SIQ,WIDS,Dabo Singkep Airport
RDE,WASM,Merdey Airport (Jahabra Airport)
ONI,WABD,Moanamani Airport
RGT,WIPR,Japura Airport
KEI,WAKP,Kepi Airport
RJM,WASN,Marinda Airport
KCD,WAKM,Kamur Airport
SUP,WART,Trunojoyo Airport
KBX,WASU,Kambuaya Airport
TAX,WAPT,Taliabu Airport
KBF,WABK,Karubaga Airport
TBM,WAOW,Tumbang Samba Airport
IUL,WABE,Ilu Airport
TJB,WIBT,Sei Bati Airport
ILA,WABL,Illaga Airport
TJG,WAON,Warukin Airport
GTO,WAMG,Jalaluddin Airport
TLI,WAMI,Sultan Bantilan Airport (Lalos Airport)
UPG,WAAA,Sultan Hasanuddin International Airport
TMH,WAKT,Tanah Merah Airport
SRI,WALS,Temindung Airport
SRG,WARS,Achmad Yani International Airport
TNB,WRLH,Tanah Grogot Airport
SQG,WIOS,Sintang Airport (Susilo Airport)
TQQ,WA44,Maranggo Airport
EWI,WABT,Enarotali Airport
TSX,WALT,Tanjung Santan Airport
ARD,WATM,Alor Island Airport
TTR,WAWT,Pongtiku Airport
BKS,WIPL,Fatmawati Soekarno Airport
TXM,WAST,Teminabuan Airport
SOQ,WASS,Dominique Edward Osok Airport
ZRM,WAJI,Sarmi Orai Airport
SOC,WARQ,Adisumarmo International Airport
UBR,WAJU,Ubrub Airport
WGP,WADW,Mau Hau Airport (Umbu Mehang Kunda Airport)
UGU,WABV,Bilogai Airport
SMQ,WAOS,H. Asan Airport
UOL,WAMY,Pogogul Airport
DUM,WIBD,Pinang Kampai Airport
ZRI,WABO,Serui Airport
DTD,WALJ,Datadawai Airport
WAR,WAJR,Waris Airport
DTB,WIMN,Silangit Airport
WBA,WAPV,Wahai Airport
WMX,WAVV,Wamena Airport
WET,WABG,Waghete Airport
KEQ,WASE,Kebar Airport
BMU,WADB,Sultan Muhammad Salahudin Airport (Bima Airport)
DPS,WADD,Ngurah Rai International Airport
SIW,WIMP,Sibisa Airport
TTE,WAEE,Sultan Babullah Airport
KLQ,WIPV,Keluang Airport
PUM,WAWP,Kolaka Pomala Airport
CGK,WIII,Soekarno-Hatta International Airport
KDI,WAWW,Haluoleo Airport
PKN,WAOI,Iskandar Airport
INX,WASI,Inanwatan Airport
TMC,WADT,Tambolaka Airport (Waikabubak Airport)
FLZ,WIMS,Ferdinand Lumban Tobing Airport
FKQ,WASF,Fakfak Torea Airport
PDG,WIPT,Minangkabau International Airport
BUW,WAWB,Betoambari Airport
TNJ,WIDN,Raja Haji Fisabilillah Airport
TPK,WITA,Teuku Cut Ali Airport
PGK,WIPK,Depati Amir Airport
CBN,WICD,Penggung Airport (Cakrabuwana Airport)
KAZ,WAMK,Kao Airport
CPF,WARC,Ngloram Airport
RKI,WIBR,Rokot Airport
BJW,WRKB,Bajawa Soa Airport
BJK,WAPK,Benjina Airport (Nangasuri Airport)
LPU,WRLP,Long Apung Airport
PPJ,WIIG,Panjang Island Airport
KTG,WIOK,Rahadi Osman Airport (Ketapang Airport)
TKG,WILL,Radin Inten II Airport
BIK,WABB,Frans Kaisiepo Airport
SXK,WAPI,Saumlaki Airport (Olilit Airport)
TJS,WAGD,Tanjung Harapan Airport
TJQ,WIKD,H.A.S. Hanandjoeddin Airport (Buluh Tumbang Airport)
TRK,WALR,Juwata International Airport
BYQ,WALV,Bunyu Airport
JOG,WIIJ,Adisucipto International Airport
LAH,WAPH,Oesman Sadik Airport
LBJ,WATO,Komodo Airport
TIM,WABP,Mozes Kilangin Airport
AAP,WALS,APT Pranoto International Airport
NRE,WAPG,Namrole Airport
LBW,WRLB,Juvai Semaring Airport (Long Bawan Airport)
ARJ,WAJA,Arso Airport
KBU,WRBK,Gusti Syamsir Alam Airport (Stagen Airport)
SUB,WARR,Juanda International Airport
PSJ,WAMP,Kasiguncu Airport
ENE,WATE,H. Hasan Aroeboesman Airport
NNX,WRLF,Nunukan Airport
NTX,WION,Ranai Airport
SAU,WATS,Tardamu Airport
DJB,WIPA,Sultan Thaha Airport
DJJ,WAJJ,Sentani Airport
BEJ,WALK,Kalimarau Airport
GEB,WAMJ,Gebe Airport
BUI,WAJB,Bokondini Airport
BUU,WIPI,Muara Bungo Airport
PSU,WIOP,Pangsuma Airport
BXT,WRLC,PT Badak Bontang Airport
BXD,WAKE,Bade Airport
PLW,WAFF,Mutiara Airport
CXP,WIHL,Tunggul Wulung Airport
BXM,WAJG,Batom Airport
KJT,WICA,Kertajati International Airport
CJN,WICN,Cijulang Nusawiru Airport
PLM,WIPP,Sultan Mahmud Badaruddin II International Airport
BDO,WICC,Husein Sastranegara International Airport
BXB,WASO,Babo Airport
PNK,WIOO,Supadio Airport
BDJ,WAOO,Syamsudin Noor Airport
GLX,WAMA,Gamarmalamo Airport
NDA,WAPC,Bandanaira Airport
PKY,WAGG,Tjilik Riwut Airport
BPN,WALL,Sultan Aji Muhammad Sulaiman Airport
BWX,WADY,Blimbingsari Airport
NBX,WABI,Nabire Airport
DRH,WAJC,Dabra Airport
PKU,WIBB,Sultan Syarif Kasim II International Airport
SWQ,WADS,Sultan Muhammad Kaharuddin III Airport (Brangbiji Airport)
DOB,WAPD,Dobo Airport
NAM,WAPR,Namlea Airport
ELR,WAJN,Elelim Airport
GNS,WIMB,Binaka Airport
NAH,WAMH,Naha Airport
JBB,WARE,Notohadinegoro Airport
HLP,WIHH,Halim Perdanakusuma International Airport
TSY,WICM,Tasikmalaya Airport (Wiriadinata Airport)
LOP,WADL,Lombok International Airport
MXB,WAWM,Andi Jemma Airport
BTW,WAOC,Batu Licin Airport
ABU,WATA,Haliwen Airport
PCB,WIHP,Pondok Cabe Airport
KOE,WATT,El Tari Airport
AEG,WIME,Aek Godang Airport
BTJ,WITT,Sultan Iskandar Muda International Airport
AGD,WASG,Anggi Airport
LUV,WAPL,Karel Sadsuitubun Airport
NOC,EIKN,Ireland West Airport Knock
GWY,EICM,Galway Airport
KIR,EIKY,Kerry Airport (Farranfore Airport)
IIA,EIMN,Inishmaan Aerodrome
INQ,EIIR,Inisheer Aerodrome
BLY,EIBT,Belmullet Aerodrome
SNN,EINN,Shannon Airport
DUB,EIDW,Dublin Airport
WAT,EIWF,Waterford Airport
KKY,EIKK,Kilkenny Airport
ORK,EICK,Cork Airport
NNR,EICA,Connemara Airport
SXL,EISG,Sligo Airport
IOR,EIIM,Inishmore Aerodrome (Kilronan Airport)
BYT,EIBN,Bantry Aerodrome
LTR,EILT,Letterkenny Airfield
CFN,EIDL,Donegal Airport
ETH,LLET,J. Hozman Airport
EIY,LLEY,Ein Yahav Airfield
MIP,LLMR,Mitzpe Ramon Airport
BEV,LLBS,Beersheba Airport
JRS,OJJR,Atarot Airport (Jerusalem International Airport)
ETM,LLER,Ramon Airport
VDA,LLOV,Ovda Airport
HFA,LLHA,Haifa Airport (Uri Michaeli Airport)
YOT,LLYT,Yotvata Airfield
RPN,LLIB,Rosh Pina Airport
SDV,LLSD,Sde Dov Airport
VTM,LLNV,Nevatim Airbase
MTZ,LLMZ,Bar Yehuda Airfield (Masada Airfield)
TLV,LLBG,Ben Gurion Airport
KSW,LLKS,Kiryat Shmona Airport
REW,VA1G,Churhata Airport
RUP,VERU,Rupsi Airport
RAJ,VARK,Rajkot Airport
SLV,VISM,Shimla Airport
SSE,VASL,Solapur Airport
ZER,VEZO,Zero Airport (Ziro Airport)
VDY,VOJV,Vidyanagar Airport (Jindal Airport)
HUF,KHUF,Terre Haute International Airport (Hulman Field)
PUT,VOPN,Sri Sathya Sai Airport
IDR,VAID,Devi Ahilyabai Holkar International Airport
RNZ,KRZL,Jasper County Airport
RMD,VORG,Ramagundam Airport (Basanth Nagar Airport)
SMD,KSMD,Smith Field
VGA,VOBZ,Vijayawada Airport
TRV,VOTV,Trivandrum International Airport
DHM,VIGG,Gaggal Airport
IXU,VAAU,Aurangabad Airport (Chikkalthana Airport)
KQH,VIKG,Ajmer Kishangarh Airport
GFD,KGFD,Pope Field
KTU,VIKO,Kota Airport
HBX,VAHB,Hubli Airport
WGC,VOWA,Warangal Airport
GYY,KGYY,Gary/Chicago International Airport
IXH,VEKR,Kailashahar Airport
GAY,VEGY,Gaya Airport (Bodhgaya Airport)
SXR,VISR,Sheikh ul Alam International Airport
IXW,VEJS,Sonari Airport
TEZ,VETZ,Tezpur Airport
DIB,VEMN,Dibrugarh Airport (Mohanbari Airport)
GWL,VIGR,Rajmata Vijaya Raje Scindia Airport (Gwalior Airport)
BPM,VOHY,Begumpet Airport
LDA,VEMH,Malda Airport
JLR,VAJB,Jabalpur Airport (Dumna Airport)
JLG,VAJL,Jalgaon Airport
GOI,VOGO,Goa International Airport (Dabolim Airport)
PYB,VEJP,Jeypore Airport
FWA,KFWA,Fort Wayne International Airport
TNI,VIST,Satna Airport
DED,VIDN,Jolly Grant Airport
TEI,VETJ,Tezu Airport
RJA,VORY,Rajahmundry Airport
RDP,VEDG,Kazi Nazrul Islam Airport
CCJ,VOCL,Calicut International Airport
IND,KIND,Indianapolis International Airport
BEP,VOBI,Bellary Airport
PGH,VIPT,Pantnagar Airport
HSS,VIHR,Hisar Airport
PAT,VEPT,Lok Nayak Jayaprakash Airport
GUS,KGUS,Grissom Air Reserve Base
VPZ,KVPZ,Porter County Regional Airport
TCR,VOTK,Tuticorin Airport
BMG,KBMG,Monroe County Airport
GUX,VAGN,Guna Airport
IXN,VEKW,Khowai Airport
RCR,KRCR,Fulton County Airport
IXQ,VEKM,Kamalpur Airport
BEK,VIBY,Bareilly Airport
NMB,VADN,Daman Airport
BBI,VEBS,Biju Patnaik International Airport
TRZ,VOTR,Tiruchirappalli International Airport
BOM,VABB,Chhatrapati Shivaji International Airport
STV,VASU,Surat Airport
RGH,VEBG,Balurghat Airport
PBD,VAPR,Porbandar Airport
DBD,VEDB,Dhanbad Airport
KUU,VIBR,Bhuntar Airport (Kullu Manali Airport)
MIE,KMIE,Delaware County Regional Airport
COH,VECO,Cooch Behar Airport
SBN,KSBN,South Bend International Airport
CBD,VOCX,Car Nicobar Air Force Base
BHU,VABV,Bhavnagar Airport
BUP,VIBT,Bathinda Airport (Bhisiana Air Force Station)
IXA,VEAT,Agartala Airport (Singerbhil Airport)
BHO,VABP,Raja Bhoj Airport
KLH,VAKP,Kolhapur Airport
IXV,VEAN,Along Airport
TJV,VOTJ,Thanjavur Air Force Station
ATQ,VIAR,Sri Guru Ram Dass Jee International Airport
DEL,VIDP,Indira Gandhi International Airport
CCU,VECC,Netaji Subhas Chandra Bose International Airport
PAB,VEBU,Bilaspur Airport
MDN,KIMS,Madison Municipal Airport
BHJ,VABJ,Bhuj Airport / Bhuj Rudra Mata Air Force Base
RID,KRID,Richmond Municipal Airport
BLR,VOBL,Kempegowda International Airport
IXB,VEBD,Bagdogra Airport
IXC,VICG,Chandigarh Airport
CJB,VOCB,Coimbatore International Airport
BDQ,VABO,Vadodara Airport (Civil Airport Harni)
DMU,VEMR,Dimapur Airport
IXD,VIAL,Allahabad Airport (Bamrauli Air Force Base)
HYD,VOHS,Rajiv Gandhi International Airport
ANQ,KANQ,Tri-State Steuben County Airport
OKK,KOKK,Kokomo Municipal Airport
DEP,VEDZ,Daporijo Airport
SER,KSER,Freeman Municipal Airport
MAA,VOMM,Chennai International Airport
ISK,VAOZ,Ozar Airport
RTC,VARG,Ratnagiri Airport
LKO,VILK,Chaudhary Charan Singh International Airport
NDC,VAND,Shri Guru Gobind Singh Ji Airport
JAI,VIJP,Jaipur International Airport
RPR,VARP,Swami Vivekananda Airport
IXE,VOML,Mangalore Airport
AMD,VAAH,Sardar Vallabhbhai Patel International Airport
PNQ,VAPO,Pune Airport
GOP,VEGK,Gorakhpur Airport
IXG,VABM,Belgaum Airport
AKD,VAAK,Akola Airport
GSH,KGSH,Goshen Municipal Airport
AJL,VELP,Lengpui Airport
HNB,KHNB,Huntingburg Airport
CEV,KCEV,Mettel Field
FRH,KFRH,French Lick Municipal Airport
AID,KAID,Anderson Municipal Airport (Darlington Field)
SXV,VOSM,Salem Airport
IXZ,VOPB,Veer Savarkar International Airport (Port Blair Airport)
AGX,VOAT,Agatti Aerodrome
AGR,VIAG,Agra Airport
KNU,VIKA,Kanpur Airport (Chakeri Air Force Station)
IXY,VAKE,Kandla Airport (Gandhidham Airport)
PNY,VOPC,Puducherry Airport
LUH,VILD,Sahnewal Airport (Ludhiana Airport)
RRK,VERK,Rourkela Airport
TIR,VOTP,Tirupati Airport
HJR,VAKJ,Civil Aerodrome Khajuraho
JSA,VIJR,Jaisalmer Airport
LTU,VALT,Latur Airport
VNS,VEBN,Lal Bahadur Shastri Airport
IXM,VOMD,Madurai Airport
CNN,VOKN,Kannur International Airport
NAG,VANP,Dr. Babasaheb Ambedkar International Airport
NVY,VONV,Neyveli Airport
EVV,KEVV,Evansville Regional Airport
SIV,KSIV,Sullivan County Airport
GBI,MYGM,Kalaburagi Airport
