iata,icao,airline
R8,KGA,Kyrgyzstan Airlines
FK,KEW,Keewatin Air
YQ,LCT,TAR Aerolineas
JF,LAB,L.A.B. Flying Service
LR,LRC,LACSA
KG,BNX,LAI - Línea Aérea IAACA
4M,DSM,LATAM Argentina
JJ,TAM,LATAM Brasil
UC,LCO,LATAM Cargo Chile
LA,LAN,LATAM Chile
LU,LXP,LATAM Express
PZ,LAP,LATAM Paraguay
LP,LPE,LATAM Peru
LO,LOT,LOT Polish Airlines
XO,LTE,LTE International Airways
L3,LTO,LTU Austria
LT,LTU,LTU International
N6,JEV,Lagun Air
IK,LKN,Lankair
QL,RLN,Lankan Cargo
QV,LAO,Lao Airlines
L7,LPN,Laoag International Airlines
NG,LDA,Lauda Air
OE[38],LDM,LaudaMotion
LQ,LAQ,Lebanese Air Transport
LI,LIA,Leeward Islands Air Transport
LV,LVL,Level
LN,LAA,Libyan Arab Airlines
L7,LNP,Línea Aérea SAPSA
QL,LER,Línea Aérea de Servicio Ejecutivo Regional
ZE,LCD,Líneas Aéreas Azteca
TM,LAM,Linhas Aéreas de Moçambique
JT,LNI,Lion Air
LM,LVG,Livingston Energy Flight
LB,LLB,Lloyd Aéreo Boliviano
LM,LOG,Loganair
GJ,CDC,Loong Air
LH,DLH,Lufthansa
LH,GEC,Lufthansa Cargo
CL,CLH,Lufthansa CityLine
L5,LTR,Lufttransport
LG,LGL,Luxair
5V,UKW,Lviv Airlines
L2,LYC,Lynden Air Cargo
Y9,DAT,Lynx Air
L4,SSX,Lynx Aviation
Z8,AZN,Línea Aérea Amaszonas
